[[{"級別":"L2","單字":"ability","答案1":"能力","答案2":"決定","答案3":"抵抗","答案4":"批評家"},
{"級別":"L2","單字":"abroad","答案1":"往國外","答案2":"回憶起","答案3":"抱怨","答案4":"可樂樹"},
{"級別":"L2","單字":"absence","答案1":"不在","答案2":"立法","答案3":"抱怨","答案4":"間隔"},
{"級別":"L2","單字":"absent","答案1":"不在的","答案2":"用力拖拉","答案3":"承租人","答案4":"易碎的"},
{"級別":"L2","單字":"accept","答案1":"接受","答案2":"子彈","答案3":"所有權","答案4":"一文不名的"},
{"級別":"L2","單字":"active","答案1":"積極的","答案2":"鞭子","答案3":"怪異的","答案4":"綜合"},
{"級別":"L2","單字":"addition","答案1":"加","答案2":"使忙碌","答案3":"性的","答案4":"使氣餒"},
{"級別":"L2","單字":"advance","答案1":"前進","答案2":"精力充沛的","答案3":"性別","答案4":"拆開"},
{"級別":"L2","單字":"affair","答案1":"事務","答案2":"午宴","答案3":"往國外","答案4":"附近"},
{"級別":"L2","單字":"aid","答案1":"幫助","答案2":"收藏","答案3":"延期","答案4":"競爭"},
{"級別":"L2","單字":"aim","答案1":"目標","答案2":"共產主義","答案3":"延長","答案4":"國會女議員"},
{"級別":"L2","單字":"aircraft","答案1":"航行器","答案2":"實際的","答案3":"肝臟","答案4":"陪伴"},
{"級別":"L2","單字":"airline","答案1":"定期航線","答案2":"庭院","答案3":"居住","答案4":"頭皮屑"},
{"級別":"L2","單字":"alarm","答案1":"警報","答案2":"膽怯地","答案3":"居住","答案4":"黎明"},
{"級別":"L2","單字":"album","答案1":"集郵本","答案2":"舒適的","答案3":"居住的","答案4":"致命的"},
{"級別":"L2","單字":"alike","答案1":"相同的","答案2":"主人","答案3":"定期航線","答案4":"害怕"},
{"級別":"L2","單字":"alive","答案1":"活著的","答案2":"直到","答案3":"官能","答案4":"他；男"},
{"級別":"L2","單字":"almond","答案1":"杏樹","答案2":"使聾；變聾","答案3":"宗教","答案4":"銅"},
{"級別":"L2","單字":"aloud","答案1":"大聲地","答案2":"外部的","答案3":"孤獨的","答案4":"炸藥"},
{"級別":"L2","單字":"alphabet","答案1":"字母表","答案2":"邊界","答案3":"孤兒院","答案4":"釀造"},
{"級別":"L2","單字":"although","答案1":"雖然","答案2":"泡沫","答案3":"孤兒","答案4":"結合"},
{"級別":"L2","單字":"altogether","答案1":"完全地","答案2":"呼吸","答案3":"奇數的","答案4":"刀刃"},
{"級別":"L2","單字":"amount","答案1":"數量； 總計","答案2":"走廊","答案3":"奇跡；大為驚異","答案4":"管理"},
{"級別":"L2","單字":"ancient","答案1":"遠古的","答案2":"可怕的","答案3":"奇跡","答案4":"人造的"},
{"級別":"L2","單字":"ankle","答案1":"踝","答案2":"擊球手；打壞","答案3":"夜鶯","答案4":"達到"},
{"級別":"L2","單字":"anybody","答案1":"任何人","答案2":"成就","答案3":"垃圾﹐乾草﹑樹葉","答案4":"通路"},
{"級別":"L2","單字":"anyhow","答案1":"無論如何","答案2":"今天","答案3":"垃圾","答案4":"熱"},
{"級別":"L2","單字":"anyone","答案1":"任何一個","答案2":"民主黨人","答案3":"垃圾","答案4":"分開"},
{"級別":"L2","單字":"anyplace","答案1":"任何地方","答案2":"三","答案3":"坦白的","答案4":"手"},
{"級別":"L2","單字":"anytime","答案1":"任何時候","答案2":"狂熱者","答案3":"固體","答案4":"經濟的"},
{"級別":"L2","單字":"anyway","答案1":"無論如何","答案2":"經過","答案3":"咖啡館","答案4":"男孩"},
{"級別":"L2","單字":"anywhere","答案1":"無論何處","答案2":"禁令；禁止","答案3":"咕噥","答案4":"動脈"},
{"級別":"L2","單字":"apartment","答案1":"也","答案2":"欺凌弱小者；威嚇","答案3":"和平的","答案4":"歡樂的歌"},
{"級別":"L2","單字":"appearance","答案1":"出現","答案2":"人工智能","答案3":"呻吟","答案4":"類似"},
{"級別":"L2","單字":"appetite","答案1":"食慾","答案2":"理解","答案3":"呷呷地叫","答案4":"訂約人"},
{"級別":"L2","單字":"apply","答案1":"申請","答案2":"千克","答案3":"受害人","答案4":"停止"},
{"級別":"L2","單字":"apron","答案1":"圍裙","答案2":"鋼筆","答案3":"取消","答案4":"早餐；進早餐"},
{"級別":"L2","單字":"argue","答案1":"爭論","答案2":"發出滴答聲；滴答聲","答案3":"取出","答案4":"滑稽演員；滑稽的"},
{"級別":"L2","單字":"argument","答案1":"爭論","答案2":"民主的","答案3":"取代","答案4":"謙恭"},
{"級別":"L2","單字":"arm","答案1":"臂","答案2":"門階","答案3":"卷軸","答案4":"無力"},
{"級別":"L2","單字":"armchair","答案1":"扶手椅子","答案2":"標籤","答案3":"卷","答案4":"匆忙"},
{"級別":"L2","單字":"arrange","答案1":"安排","答案2":"位置","答案3":"卓越的","答案4":"力量"},
{"級別":"L2","單字":"arrangement","答案1":"排列","答案2":"健康的","答案3":"卑下的","答案4":"風箏"},
